,wav,sigma_wav,separation,intensity,sigma_intensity,label,number_of_lines,clean,subline_wav,subline_I,err_important,transmission
0,1492.7297656602077,0.000708289718366194,0.4657608569364129,0.04992743185415389,0.03107298165468825,CH4|H20|CO2|CO2|H20|CO2|CO2|H20|H20|CH4|CO2,11,False,"[1492.80826927 1492.79069616 1492.78646217 1492.74503603 1492.72942437
 1492.72135239 1492.71724735 1492.71503564 1492.67014815 1492.66503655
 1492.598874  ]","[0.0538 0.0823 0.0537 0.0409 0.3198 0.1141 0.0382 0.0131 0.0141 0.1298
 0.1402]",0.06315241552101188,0.9189924163928863
1,1493.1955265171441,0.001158518542596224,0.3016314727792633,0.04668763371829954,0.012721629824312236,(3-1)rR2e(0.5)|(3-1)rR2f(0.5)|CH4|CH4|CH4|CH4|CH4,7,False,"[1493.19675736 1493.17937656 1493.29561786 1493.23489929 1493.23211211
 1493.22245738 1493.17875628]",[0.3547 0.3548 0.0614 0.0392 0.0166 0.0133 0.16  ],0.0321164974890044,0.9385018512848186
2,1493.4971579899234,0.000838771675258212,0.3016314727792633,0.08052788146247623,0.06274298064920984,CO2|CO2|CO2|CH4|CO2|H20|CH4,7,False,"[1493.55128384 1493.54291454 1493.52856522 1493.51375935 1493.46786049
 1493.45008449 1493.43118772]",[0.1177 0.0178 0.3537 0.0254 0.0395 0.3023 0.1437],0.06650627256797874,0.9463242529058399
3,1494.268437472019,0.0008278912792111779,0.7712794820956788,0.007292242756848245,0.0027350771640901553,(2-0)pQ12f(4.5)|CO2|CH4|CO2|CH4|CH4|CO2|CO2|CH4|CH4,10,False,"[1494.20899308 1494.40388411 1494.34949099 1494.3121048  1494.30556759
 1494.27086836 1494.23543283 1494.23083273 1494.19861698 1494.17417009]",[0.034  0.1247 0.0607 0.0212 0.0118 0.5996 0.0215 0.0273 0.0155 0.0838],0.06611903608779478,0.9341392130592877
4,1495.5858269490768,0.0007082897183351984,0.46317631871534104,0.015355130080935617,0.0059180140924275605,CH4,1,True,[1495.58560709],[1.],0.04919689699640642,0.9275173541652513
5,1496.0490032677922,0.0007237264062890955,0.46317631871534104,0.03128706249770626,0.026898836903860055,CO2|CO2|CO2|CO2|CH4,5,False,[1496.22486278 1496.05590093 1496.05470014 1495.99198092 1495.92095266],[0.2566 0.0121 0.5391 0.0162 0.1761],0.06589256142643694,0.9449538214811566
6,1497.043608231936,0.0007164688545526856,0.49992710736000845,0.011612462177691789,0.004406078688573975,CH4|CH4|CH4|CO2|H20|CO2|H20|CH4|H20,9,False,"[1497.14577393 1497.09426728 1497.05087714 1497.04712634 1497.03066124
 1497.03037998 1497.01982896 1496.92907993 1496.91847857]",[0.0252 0.3066 0.0071 0.0287 0.0091 0.3037 0.0077 0.0634 0.2485],0.06468102409547975,0.9460925032967556
7,1497.543535339296,0.0007237264063044794,0.32580095695470845,0.0062014298022999206,0.0023116385843831464,H20|H20|CO2|CH4|CH4|CH4|CH4|CO2|CO2|CH4|H20|H20|CO2,13,False,"[1497.69396204 1497.63084826 1497.60201883 1497.59256006 1497.57349664
 1497.55306568 1497.52741003 1497.51116804 1497.50636386 1497.48675301
 1497.45866059 1497.45195298 1497.41953607]","[0.1304 0.0286 0.0285 0.0211 0.0084 0.5063 0.0189 0.0143 0.0165 0.0246
 0.0471 0.0214 0.1339]",0.08826584778662185,0.9116196676623667
8,1497.8693362962508,0.0008309378405126708,0.32580095695470845,0.022777637653679027,0.008831132121803921,CO2|H20|CO2|CO2|CH4|CO2|CH4|CH4,8,False,"[1497.89920775 1497.88637388 1497.87894672 1497.87052638 1497.85187072
 1497.81972254 1497.81873407 1497.80852639]",[0.4277 0.1546 0.0719 0.0151 0.052  0.0373 0.0414 0.1999],0.0526761824904022,0.9439493391536486
9,1498.2865728360316,0.0007272094854988812,0.35044372714742167,0.01559379391359724,0.00583391493965561,CH4|CH4|CO2|CH4|CH4|CO2|CH4,7,False,"[1498.40347357 1498.39855657 1498.36805079 1498.29113154 1498.28771934
 1498.28639981 1498.26336294]",[0.1322 0.1427 0.0359 0.1491 0.11   0.0096 0.4204],0.0793382156299751,0.9425999271965668
10,1498.637016563179,0.0007190863734293716,0.35044372714742167,0.04003886272677425,0.022809452856247865,CO2|CH4|CH4|CO2|H20|CO2|H20|CO2|CO2|H20|CO2|CH4,12,False,"[1498.70344355 1498.70257318 1498.69046675 1498.68250693 1498.64392709
 1498.61379737 1498.61363343 1498.60175571 1498.58131218 1498.56637003
 1498.54664607 1498.53682864]","[0.0137 0.0378 0.1064 0.1582 0.2448 0.0314 0.0771 0.0099 0.0885 0.0664
 0.0968 0.069 ]",0.047888544842273645,0.909500326643032
11,1499.0163384962386,0.0007191525160591719,0.37932193305960027,0.018475402574493077,0.006894678257846805,CO2|H20|CO2|CO2|CO2|CH4|CO2|CO2|CH4|CO2|CH4|CO2|CH4|CO2|CH4,15,False,"[1499.16263491 1499.12276553 1499.11620751 1499.0956187  1499.05139114
 1499.04900331 1499.0474193  1499.02850668 1499.01603838 1499.00678688
 1498.98300748 1498.95781892 1498.957168   1498.95619174 1498.90151504]","[0.095  0.0506 0.091  0.0324 0.0093 0.0087 0.0159 0.2403 0.0731 0.0249
 0.1045 0.1057 0.0374 0.076  0.035 ]",0.034881025126194266,0.9367293149826956
