# APOGEE_sky_linelist.csv -- sky (airglow) line list for the ApogeeReduction.jl
# wavelength calibration. GENERATED by scripts/cal/make_sky_linelist.jl on 2026-09-12;
# never edit by hand -- edit the generator and rerun.
#
# All wavelengths VACUUM, Angstroms. Sublines ascending (subwave_1_ang < subwave_2_ang);
# component parity labels (parity_1/2) are the UPPER-state e/f parity, matching the
# Oliva et al. 2015 doublet notation. wave_cen_ang = weighted centroid (weights below).
#
# SOURCES (cached in data/linelist_sources/, sha256-verified at generation):
#   positions/Einstein A/labels/splittings: Brooke et al. 2016, JQSRT 168, 142
#     (MoLLIST OH via ExoMol "MoLLIST-OH" states+trans, retrieved 2026-09-12;
#     H-band position accuracy ~0.01 A, Abrams et al. 1994 FTS lineage)
#   empirical per-band intensity scale + position cross-check: Oliva et al. 2015,
#     A&A 581, A47 (VizieR J/A+A/581/A47 table1, retrieved 2026-09-12)
#   centroid cross-check only: Rousselot et al. 2000, A&A 354, 1134 (vacuum-converted
#     copy from SDSS apogee_drp; Q-branch SPLITTINGS from this source are known-wrong
#     and were never used)
#   cross-check only: SDSS apogee_drp data/skylines/airglow.txt (drp_usewave column;
#     -1 = no DRP counterpart within 0.10 A)
#   meas_peak_apo/lco: OUR stacked-sky peak heights (median running-median-scaled flux,
#     healthy night MJD 60105, pass-1 DR21 products; NaN = not measured there) --
#     MEASURED amplitudes, vs model_rel_int which is the MODEL amplitude estimate.
#
# MODEL AMPLITUDES (model_rel_int): Einstein-A-based cold-atmosphere estimate at
# T_rot = 200 K: per component A * g_up * exp(-(E_up - E0_v')/kT), summed over the
# doublet, each vibrational band scaled to the Oliva 2015 empirical fluxes (median
# over low-J matches, E_rot <= 500 cm^-1; the cold model matches Oliva to ~+-10%
# there, while non-LTE hot-OH makes high-J lines far brighter than any cold model),
# normalized to the brightest pool line = 1. Component weights are FIXED 1:1 (weight_1 = weight_2
# = 0.5): the Lambda-doublet e/f component ratio is 1.000 +/- 0.002, temperature-
# independent to <= 1e-3 (Einstein-A e/f equality <= 0.03% in this very list; LTE
# sublevel-population equality <= 0.2%), and our 24-night stacked-sky measurements
# confirm ratios consistent with 1 at the 1.5-11% measurement-noise level.
#
# SELECTION CUTS (candidate pool): OH X2Pi-X2Pi Meinel MAIN-branch Lambda-doublets,
# both components in [15125.0, 16960.0] A, separation <= 2.5 A,
# model_rel_int >= 0.002, and isolation (no other OH Meinel line with
# component intensity >= 15% of the candidate's weaker component
# within 0.8 A of either component).
#
# wavecal_class (FROZEN outcomes of the 2026-09 pass-1 census + offline association
# validation; changing a class is a science decision, not a regeneration):
#   B  = associate + fit + USE in the wavelength solution (18 lines)
#   A  = associate + fit, EXCLUDED from the solution (4 association-guard lines).
#        Guards make the nearest-catalog-line association claim the thief features
#        that otherwise steal the labels of nearby class-B lines. Only safe together
#        with the quartic rough wavelength model (data/roughwave_dict.jld2).
#   X  = reviewed, EXCLUDED from association entirely (1 line)
#   "" = candidate pool row, inert (not consumed; available for future promotion)
#
# Consumed by src/skyline_peaks.jl (get_sky_peaks): class A+B rows are associated and
# fit; class recorded in the skyLinePeaks product; class-A rows are NaN-masked at
# wavelength-solution ingest (src/wavecal.jl ingest_skyLines_file).
label,chip,wavecal_class,wave_cen_ang,subwave_1_ang,subwave_2_ang,sep_ang,parity_1,parity_2,weight_1,weight_2,einA_1,einA_2,Eup_1_cm1,Eup_2_cm1,model_rel_int,oliva_flux,meas_peak_apo,meas_peak_lco,rousselot_cen_ang,drp_usewave,class_note
OH(3-1)P2(1.5),B,B,15187.1396,15187.0078,15187.2715,0.2637,e,f,0.5,0.5,15.526,15.529,10338.6176,10338.7535,0.20141,1918.0,NaN,NaN,15187.14,1,healthy on 2088 good-FPI tele-nights
OH(3-1)P1(2.5),B,B,15240.9533,15240.7867,15241.12,0.3334,e,f,0.5,0.5,9.8958,9.8957,10210.5453,10210.5884,0.64527,7462.0,NaN,NaN,15240.954,1,healthy
OH(3-1)P2(2.5),B,B,15287.7911,15287.7478,15287.8344,0.0866,e,f,0.5,0.5,14.57,14.574,10392.3969,10392.6256,0.25667,2303.0,NaN,NaN,15287.789,1,healthy
OH(3-1)P1(3.5),B,,15332.4021,15332.0974,15332.7069,0.6095,e,f,0.5,0.5,12.16,12.159,10285.3735,10285.5321,0.69396,7920.0,NaN,NaN,15332.402,1,
OH(3-1)P2(3.5),B,B,15395.3377,15395.2622,15395.4132,0.151,f,e,0.5,0.5,14.429,14.424,10481.7762,10481.527,0.20073,2002.0,NaN,NaN,15395.334,1,healthy
OH(4-2)R1(6.5),B,,15430.1654,15429.8395,15430.4913,0.6518,f,e,0.5,0.5,12.347,12.35,14164.769,14162.9416,0.0038483,78.0,NaN,NaN,15430.163,-1,
OH(3-1)P1(4.5),B,B,15432.1581,15431.6993,15432.6169,0.9176,e,f,0.5,0.5,13.152,13.15,10390.8013,10391.1598,0.46841,4831.0,NaN,NaN,15432.156,0,healthy
OH(4-2)R2(5.5),B,,15438.7828,15438.5137,15439.0518,0.5381,e,f,0.5,0.5,12.625,12.629,14219.2776,14218.8258,0.0023147,43.0,NaN,NaN,NaN,-1,
OH(4-2)R1(5.5),B,,15462.1267,15461.8107,15462.4428,0.6321,f,e,0.5,0.5,12.908,12.911,13943.7962,13942.4477,0.017226,159.0,NaN,NaN,15462.125,-1,
OH(4-2)R2(4.5),B,,15474.2157,15473.9901,15474.4413,0.4512,e,f,0.5,0.5,13.297,13.302,14004.7661,14004.5989,0.0097687,96.0,NaN,NaN,15474.212,0,
OH(4-2)R1(4.5),B,,15500.8649,15500.5739,15501.1558,0.5819,f,e,0.5,0.5,13.272,13.275,13752.7661,13751.8304,0.059911,554.0,NaN,NaN,15500.864,1,
OH(3-1)P2(4.5),B,,15509.7731,15509.563,15509.9832,0.4203,f,e,0.5,0.5,14.529,14.525,10605.5506,10605.3652,0.1106,1106.0,NaN,NaN,15509.769,1,
OH(3-1)P1(5.5),B,B,15540.3296,15539.7077,15540.9516,1.2439,e,f,0.5,0.5,13.765,13.762,10527.1861,10527.8299,0.22949,2369.0,29.311,31.383,NaN,0,healthy but theft victim of 15546.13 (90 apo flip nights); guarded by class-A OH(4-2)R1(3.5)
OH(4-2)R1(3.5),B,A,15546.1398,15545.8905,15546.3892,0.4987,f,e,0.5,0.5,13.269,13.272,13591.7234,13591.1292,0.15879,1479.0,60.138,42.712,15546.141,0,guard: measured 2.05x (apo) / 1.36x (lco) brighter than its 15540.39 victim in stacked sky; below the old intensity gate
OH(4-2)R2(2.5),B,,15570.1619,15570.0729,15570.2509,0.178,e,f,0.5,0.5,14.143,14.148,13670.7441,13670.9268,0.076481,673.0,NaN,NaN,15570.159,0,
OH(4-2)R1(2.5),B,B,15597.6285,15597.4375,15597.8195,0.3821,f,e,0.5,0.5,12.505,12.507,13460.599,13460.2696,0.30719,2892.0,NaN,NaN,15597.631,1,healthy
