# stack_sky_peaks.csv -- measured stacked-sky emission peak heights near the wavecal
# problem windows. Median running-median-scaled flux over all fibers x 4 object
# exposures, healthy night MJD 60105, both telescopes, ApogeeReduction.jl pass-1 DR21
# products (generated 2026-09-12 by the offline stack_sky.jl analysis; peak_height in
# scaled-flux units; NaN = feature not detected on the usable detector area).
tele,mjd,chip,feature,lam,peak_height
apo,60105,R,Q2(0.5),16688.85,8.948165760830424
apo,60105,R,Q2(0.5),16689.56,5.716710413416768
apo,60105,R,Q1(1.5),16692.37,90.27870249980364
apo,60105,R,Q2(1.5)f,16702.04,12.130916431028018
apo,60105,R,Q2(1.5)e,16703.24,11.467870484815377
apo,60105,R,Q1(2.5)f,16708.45,81.47458677411645
apo,60105,R,Q1(2.5)e,16709.26,69.61621062660417
apo,60105,R,Q2(2.5),16724.74,4.184143857649592
apo,60105,R,Q1(3.5)f,16731.56,11.048816331749762
apo,60105,R,Q1(3.5)e,16733.4,11.238733077804854
apo,60105,G,R2(2.5),16414.74,41.7575624034688
apo,60105,G,R1(2.5),16442.15,NaN
apo,60105,B,P1(5.5),15540.39,29.31114743372331
apo,60105,B,R1(3.5)a,15545.89,60.13764550298857
apo,60105,B,R1(3.5)b,15546.39,60.13764550298857
lco,60105,R,Q2(0.5),16688.85,10.558920918614719
lco,60105,R,Q2(0.5),16689.56,7.410127474198904
lco,60105,R,Q1(1.5),16692.37,98.32004953297503
lco,60105,R,Q2(1.5)f,16702.04,7.429281829349138
lco,60105,R,Q2(1.5)e,16703.24,7.683449753193412
lco,60105,R,Q1(2.5)f,16708.45,69.14073485275055
lco,60105,R,Q1(2.5)e,16709.26,63.22989188828963
lco,60105,R,Q2(2.5),16724.74,2.086833884389547
lco,60105,R,Q1(3.5)f,16731.56,10.598675891398996
lco,60105,R,Q1(3.5)e,16733.4,10.615659356768477
lco,60105,G,R2(2.5),16414.74,38.59008208587613
lco,60105,G,R1(2.5),16442.15,NaN
lco,60105,B,P1(5.5),15540.39,31.383021921116825
lco,60105,B,R1(3.5)a,15545.89,39.94867823267568
lco,60105,B,R1(3.5)b,15546.39,42.711877070547494
